battery_kwh,solar_kwp,system_cost,baseline_cost,monthly_savings,grid_import_kwh,grid_export_kwh,solar_production_kwh,consumption_kwh,self_consumption_pct,self_sufficiency_pct,simulation_days,investment_cost,total_savings,payback_months,payback_years
16.65,2,482.78655634844495,835.4371500000112,29.06460936688733,265.26733865299377,0.0,202.14536373626368,459.03140109890114,100.0,42.211504917102545,364,4318.0,352.6505936515663,148.56556114321643,12.380463428601368
16.65,20,-264.93317873265755,835.4371500000112,90.68986225818699,25.69394863310438,642.2311097079103,1105.6904072293848,459.03140109890114,41.91582874294812,94.40257277136288,364,13498.0,1100.370328732669,148.83692249495587,12.403076874579655
13.32,20,-240.2932090851543,835.4371500000112,88.65909552899714,42.3529069256868,653.9330350753501,1098.5258665584784,459.03140109890114,40.47176721254393,90.77341837087924,364,13231.6,1075.7303590851654,149.24131496099494,12.436776246749579
6.66,18,-94.03792995473492,835.4371500000112,76.6050890072593,127.91548624570154,673.4425444819564,1021.5531954862631,459.03140109890114,34.07660536352243,72.13360873799103,364,11678.8,929.4750799547462,152.4546234636355,12.704551955302959
9.99,20,-191.69109176631943,835.4371500000112,84.65342651920307,72.92717349807688,668.4448094769629,1078.5233001752943,459.03140109890114,38.02221895731698,84.11281378060576,364,12965.2,1027.1282417663306,153.15623398964166,12.763019499136805
3.33,16,21.133738184169143,835.4371500000112,67.11291855625072,193.29018303230927,681.2933961565161,955.7103436557613,459.03140109890114,28.713401431813722,57.89172972272028,364,10392.4,814.3034118158421,154.8494719580643,12.904122663172025
0.0,14,139.60300667500024,835.4371500000112,57.348967856456945,261.62385556318543,693.4459006524723,890.8534461881867,459.03140109890114,22.15937384318242,43.00523778180113,364,9006.0,695.8341433250109,157.03857168871454,13.086547640726211
6.66,20,-103.02279161648435,835.4371500000112,77.34559958377712,126.30858433063332,685.9294267133929,1035.6819602166029,459.03140109890114,33.77026412916012,72.48367235264166,364,12698.8,938.4599416164956,164.1825788194357,13.681881568286308
3.33,18,11.280322734795437,835.4371500000112,67.92501323614417,191.59579056210285,695.2417913905819,971.37087917459,459.03140109890114,28.42674139239642,58.26085315657471,364,11412.4,824.1568272652158,168.0146893799536,14.001224114996134
0.0,16,128.95619240000073,835.4371500000112,58.226452549451416,259.8131175824159,708.5927505494486,907.811034065934,459.03140109890114,21.944906598482287,43.39970708748147,364,10026.0,706.4809576000105,172.18977906107145,14.349148255089288
3.33,20,2.8282363003128443,835.4371500000112,68.62161376645867,190.0680639370895,706.9278298046434,984.6091947343906,459.03140109890114,28.20219092151124,58.59366843268786,364,12432.4,832.6089136996984,181.17323854130623,15.097769878442186
0.0,18,120.16676967500123,835.4371500000112,58.95085552129204,258.25344993131654,720.854071153844,921.6320223214285,459.03140109890114,21.78504504019514,43.73948071677252,364,11046.0,715.27038032501,187.37641552988782,15.614701294157319
0.0,20,112.81700450000103,835.4371500000112,59.55660539835249,256.9120879120858,730.967710508241,933.0870236950549,459.03140109890114,21.66135719971915,44.0316964597521,364,12066.0,722.6201455000102,202.59717489428604,16.88309790785717
0.0,0,835.4371500000112,835.4371500000112,0.0,459.0314010989041,0.0,0.0,459.03140109890114,0.0,-6.531871620309881e-13,364,1350.0,0.0,11988.0,999.0
16.65,0,834.7328550000115,835.4371500000112,0.058046291208772624,458.6444258241787,0.0,0.0,459.03140109890114,0.0,0.08430257141362779,364,2782.0,0.7042949999997745,47927.26532680786,3993.9387772339883
13.32,0,834.8737140000113,835.4371500000112,0.046437032967025595,458.72182087912375,0.0,0.0,459.03140109890114,0.0,0.0674420571307814,364,2515.6,0.5634359999999106,54172.28102808159,4514.3567523401325
9.99,0,835.0145730000114,835.4371500000112,0.03482777472525982,458.7992159340688,0.0,0.0,459.03140109890114,0.0,0.05058154284793501,364,2249.2,0.42257699999981924,64580.64053023475,5381.720044186229
6.66,0,835.1554320000114,835.4371500000112,0.023218516483503426,458.87661098901395,0.0,0.0,459.03140109890114,0.0,0.03372102856505594,364,1982.8,0.2817179999998416,85397.35953452339,7116.44662787695
3.33,0,835.2962910000114,835.4371500000112,0.01160925824174703,458.9540060439591,0.0,0.0,459.03140109890114,0.0,0.016860514282176883,364,1716.4,0.14085899999986395,147847.51654742294,12320.626378951913
